period,forecasted_sales,confidence_lower,confidence_upper
1,1547.6199510579147,1315.4769583992274,1779.7629437166017
2,1567.922405452352,1332.7340446344992,1803.1107662702047
3,1588.224859846789,1349.9911308697706,1826.4585888238073
4,1608.5273142412263,1367.2482171050424,1849.80641137741
5,1628.8297686356636,1384.505303340314,1873.154233931013
6,1649.132223030101,1401.7623895755858,1896.5020564846159
7,1669.4346774245382,1419.0194758108576,1919.849879038219
8,1689.7371318189753,1436.276562046129,1943.1977015918214
9,1710.0395862134126,1453.5336482814007,1966.5455241454242
10,1730.3420406078499,1470.7907345166723,1989.8933466990272
11,1750.6444950022872,1488.047820751944,2013.24116925263
12,1770.9469493967244,1505.3049069872156,2036.588991806233
13,1791.2494037911615,1522.5619932224872,2059.936814359836
14,1811.5518581855988,1539.819079457759,2083.2846369134386
15,1831.854312580036,1557.0761656930306,2106.6324594670414
16,1852.1567669744734,1574.3332519283024,2129.980282020644
17,1872.4592213689107,1591.590338163574,2153.328104574247
18,1892.7616757633477,1608.8474243988455,2176.6759271278497
19,1913.064130157785,1626.1045106341173,2200.0237496814525
20,1933.3665845522223,1643.361596869389,2223.3715722350553
21,1953.6690389466596,1660.6186831046607,2246.7193947886585
22,1973.971493341097,1677.8757693399323,2270.0672173422613
23,1994.273947735534,1695.1328555752038,2293.415039895864
24,2014.5764021299713,1712.3899418104754,2316.762862449467
25,2034.8788565244085,1729.6470280457472,2340.1106850030696
26,2055.1813109188456,1746.9041142810188,2363.4585075566724
27,2075.483765313283,1764.1612005162906,2386.806330110275
28,2095.78621970772,1781.4182867515622,2410.154152663878
29,2116.0886741021577,1798.675372986834,2433.5019752174812
30,2136.391128496595,1815.9324592221055,2456.849797771084
